comuna,Poblacion 2025,nombre_comuna,sum,presupuesto_persona
13110,407764,La Florida,36485463100.0,89477.0
13111,118394,La Granja,15725508532.0,132824.0
13112,188806,La Pintana,19003874814.0,100653.0
13113,98722,La Reina,9971660435.0,101007.0
13114,345985,Las Condes,52225580926.0,150948.0
13115,132248,Lo Barnechea,46356365497.0,350526.0
13116,99774,Lo Espejo,11894585117.0,119215.0
13117,101223,Lo Prado,9592567070.0,94767.0
13118,138951,Macul,11881452372.0,85508.0
13119,587189,Maipú,86131540905.0,146685.0
13120,270521,Ñuñoa,20601085063.0,76153.0
13121,103434,Pedro Aguirre Cerda,13131147433.0,126952.0
13122,273909,Peñalolén,27359073532.0,99884.0
13123,165134,Providencia,33046304360.0,200118.0
13124,262943,Pudahuel,36251886702.0,137870.0
13125,279737,Quilicura,28852585703.0,103142.0
13126,142670,Quinta Normal,13423222814.0,94086.0
13127,197824,Recoleta,20860489287.0,105450.0
13128,163267,Renca,15705493387.0,96195.0
13129,102811,San Joaquín,10662241238.0,103707.0
13130,148387,San Miguel,6671352628.0,44959.0
13131,82919,San Ramón,8019313106.0,96713.0
13132,96671,Vitacura,41950614519.0,433952.0
13201,671142,Puente Alto,45868606401.0,68344.0
13202,33617,Pirque,3121943016.0,92868.0
13203,19700,San José de Maipo,1914780312.0,97197.0
13301,201012,Colina,23135398416.0,115095.0
13302,146646,Lampa,10927956682.0,74519.0
13303,22695,Tiltil,1213669685.0,53477.0
13401,351625,San Bernardo,30440148261.0,86570.0
13402,119885,Buin,7011237754.0,58483.0
13403,30678,Calera de Tango,3762638101.0,122649.0
13404,89543,Paine,19036141701.0,212592.0
13501,150466,Melipilla,10498117774.0,69771.0
13502,7954,Alhué,5324959875.0,669469.0
13503,38803,Curacaví,4301896008.0,110865.0
13504,15838,María Pinto,1539774090.0,97220.0
13505,12669,San Pedro,3207074965.0,253143.0
13601,86348,Talagante,5379905870.0,62305.0
13602,42723,El Monte,2873132678.0,67250.0
13603,42887,Isla de Maipo,2530144134.0,58996.0
13604,83549,Padre Hurtado,10742794099.0,128581.0
13605,108142,Peñaflor,10685399614.0,98809.0
14101,183287,Valdivia,20581223424.0,112290.0
14102,5416,Corral,1554231799.0,286970.0
14103,18140,Lanco,3140467548.0,173124.0
14104,20513,Los Lagos,3913894479.0,190801.0
14105,7366,Máfil,2340644480.0,317763.0
14106,24175,Mariquina,5196280364.0,214944.0
14107,20965,Paillaco,4015265320.0,191522.0
14108,36254,Panguipulli,5545098949.0,152951.0
14201,39740,La Unión,9099462849.0,228975.0
14202,15162,Futrono,5153050203.0,339866.0
14203,10262,Lago Ranco,5418979293.0,528063.0
14204,33013,Río Bueno,7236601441.0,219205.0
15101,259064,Arica,25220633643.0,97353.0
15102,1248,Camarones,1641370856.0,1315201.0
15201,2578,Putre,1442522721.0,559551.0
15202,797,General Lagos,966472817.0,1212638.0
16101,205318,Chillán,16989967335.0,82750.0
16102,22770,Bulnes,5156942352.0,226480.0
16103,35965,Chillán Viejo,6372435054.0,177184.0
16104,12158,El Carmen,3223668121.0,265148.0
16105,8566,Pemuco,1684798872.0,196684.0
16106,12247,Pinto,1889464174.0,154280.0
16107,19421,Quillón,3800101329.0,195670.0
16108,16584,San Ignacio,2793938709.0,168472.0
